iso_code,year,fertility_rate,current_usd,deflation,annual_rate,female_participation,unemployment,married_percentage,WGI,CPI10,CPI100,log_gdppc
LTE,1960,4.37563343473696,167.960973276172,,,,,,,,,5.1237316504894395
LTU,1960,2.56,,,,,,,,,,
LUX,1960,2.29,2261.17741836594,,,,,,,,,7.723640938180396
LVA,1960,1.94,,,,,,,,,,
MAC,1960,4.957,,,,,,,,,,
MAF,1960,6.389,,,,,,,,,,
MAR,1960,6.887,174.784133911133,,,,,,,,,5.163551692003072
MCO,1960,2.812,,,,,,,,,,
MDA,1960,3.315,,,,,,,,,,
MDG,1960,7.343,131.69201832961,,,,,,,,,4.880466001974261
MDV,1960,6.713,,,,,,,,,,
MEA,1960,6.94826640195092,183.77617606472,,,,,,,,,5.2137185827212145
MEX,1960,6.763,355.075199563018,,,,,,,,,5.872329596797641
MHL,1960,8.077,,,,,,,,,,
MIC,1960,5.42939963014378,129.121186693764,,,,,,,,,4.860751395106449
MKD,1960,3.826,,,,,,,,,,
MLI,1960,7.019,,,,,,,,,,
MLT,1960,3.62,,,,,,,,,,
MMR,1960,5.901,25.0847757223623,,,,,,,,,3.222261117189144
MNA,1960,6.98920934561558,144.528783640961,,,,,,,,,4.973478682462982
MNE,1960,3.532,,,,,,,,,,
MNG,1960,6.817,,,,,,,,,,
MNP,1960,5.958,,,,,,,,,,
MOZ,1960,6.312,,,,,,,,,,
MRT,1960,6.149,,,,,,,,,,
MUS,1960,5.897,238.251033437494,,,,,,,,,5.473324880142927
MWI,1960,7.042,,,,,,,,,,
MYS,1960,6.412,240.847414554537,,,,,,,,,5.484163598347809
NAC,1960,3.66813374560788,2935.34950060496,,,,,,,,,7.984581805446966
NAM,1960,6.243,,,,,,,,,,
NCL,1960,5.436,,,,,,,,,,
NER,1960,7.53,128.251201351162,,,,,,,,,4.853990851267529
NGA,1960,6.364,93.1370090424417,,,,,,,,,4.534071624546041
NIC,1960,7.159,127.483812082529,,,,,,,,,4.847989392479266
NLD,1960,3.12,1156.38597727767,,,,,,,,,7.053054883881942
NOR,1960,2.85,1451.2850779894,,,,,,,,,7.2802047035998525
NPL,1960,6.069,50.2125233749587,,,,,,,,,3.916264465206003
NRU,1960,5.337,,,,,,,,,,
NZL,1960,4.24,2334.1337214332,,,,,,,,,7.755396104021612
OED,1960,3.29166295110634,1311.37045040591,,,,,,,,,7.178828014714517
OMN,1960,7.277,83.3853105243323,,,,,,,,,4.423472161049727
OSS,1960,4.43553319926391,,,,,,,,,,
PAK,1960,6.8,82.0241000071912,,,,,,,,,4.407013106610088
PAN,1960,5.829,477.037935000289,,,,,,,,,6.167596016028626
PER,1960,6.941,252.796782675034,,,,,,,,,5.532585935431566
PHL,1960,6.996,269.465146474794,,,,,,,,,5.596439055361502
PLW,1960,7.189,,,,,,,,,,
PNG,1960,6.018,115.530490488928,,,,,,,,,4.749534482040558
POL,1960,2.98,,,,,,,,,,
PRE,1960,6.56663079057346,129.005586445132,,,,,,,,,4.859855709200221
PRI,1960,4.796,717.514843087362,,,,,,,,,6.575793634649571
PRK,1960,3.568,,,,,,,,,,
PRT,1960,3.16,376.976430250874,,,,,,,,,5.932182666265152
PRY,1960,6.5,153.375216758109,,,,,,,,,5.032887316285882
PSS,1960,6.73252609084681,,,,,,,,,,
PST,1960,2.90442808882196,1371.05718563207,,,,,,,,,7.22333738958381
PYF,1960,5.931,,,,,,,,,,
QAT,1960,6.531,,,,,,,,,,
ROU,1960,2.34,,,,,,,,,,
RUS,1960,2.52,,,,,,,,,,
RWA,1960,8.283,39.3740728069473,,,,,,,,,3.6731075491084755
SAS,1960,5.99643314493816,85.1907206631683,,,,,,,,,4.444892515499756
SAU,1960,7.626,717.796628958557,,,,,,,,,6.576186282350511
SDN,1960,6.663,99.7131195068359,,,,,,,,,4.602297258148482
SEN,1960,6.996,300.425115236279,,,,,,,,,5.705198522374818
SGP,1960,5.76,428.056183371291,,,,,,,,,6.059254456525793
SLB,1960,7.065,,,,,,,,,,
SLE,1960,6.175,142.020018367626,,,,,,,,,4.9559680220852025
SLV,1960,6.618,,,,,,,,,,
SMR,1960,2.428,,,,,,,,,,
SOM,1960,7.25,62.7396279412993,,,,,,,,,4.13899327257758
SRB,1960,2.155,,,,,,,,,,
SSA,1960,6.57818814839887,166.386501976834,,,,,,,,,5.114313407169191
SSD,1960,7.161,,,,,,,,,,
